Class,Genes
Endocrine,"CYP17A1, CYP17, P450C17"
Endocrine,"CYP17A1, CYP17, P450C17"
Metabolic,"HADH2, ERAB"
Metabolic,ACADSB
Metabolic,HSD3B2
Metabolic,"HADHSC, SCHAD"
Metabolic,"MCCC1, MCCA"
Metabolic,"MCCC2, MCCB"
Metabolic,AUH
Metabolic,"OPA3, MGA3"
multiple,CUL7
Metabolic,TPMT
multiple,"FGD1, FGDY, AAS"
Immunological,HLA-B
multiple,"EDNRB, HSCR2, ABCDS"
Metabolic,MTP
Metabolic,"APOB, FLDB"
Skeletal,"SOX9, CMD1, SRA1"
Hematological,CAT
Cancer,MDM2
multiple,"AAAS, AAA"
Skeletal,"C7orf2, ACHP, LMBR1"
Bone,COL2A1
Bone,"SLC26A2, DTD, DTDST, D5S1708, EDM4"
Skeletal,"FGFR3, ACH"
Ophthamological,"CNGA3, CNG3, ACHM2"
Ophthamological,"CNGB3, ACHM3"
Ophthamological,"GNAT2, ACHM4"
Endocrine,"IGFALS, ALS"
Cardiovascular,"KCNH2, LQT2, HERG"
multiple,"GLI3, PAPA, PAPB, ACLS"
Skeletal,"IHH, BDA1"
Dermatological,"SLC39A4, ZIP4"
Dermatological,"ATP2A2, ATP2B, DAR"
Endocrine,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO"
Endocrine,SSTR5
Skeletal,"GDF5, CDMP1"
Skeletal,"NPR2, ANPRB, AMDM"
Metabolic,"ACADL, LCAD"
Metabolic,"ACADM, MCAD"
Metabolic,"ACADS, SCAD"
Cancer,EGFR
Cancer,BRAF
Cancer,"ERBB2, NGL, NEU, HER2"
Cancer,"PRKN, PARK2, PDJ"
Cancer,"PRKN, PARK2, PDJ"
Cancer,"APC, GS, FPC"
Cancer,MUTYH
Cancer,"PLAG1, SGPA, PSA"
Cancer,"APC, GS, FPC"
Cancer,"APC, GS, FPC"
Immunological,ADA
Metabolic,ADSL
Endocrine,"APM1, GBP28"
Cancer,MEN1
Cancer,"TP53, P53, LFS1"
Endocrine,"CYP11B1, P450C11, FHI"
Endocrine,"CYP21A2, CYP21, CA21H"
Endocrine,POR
Endocrine,"DAX1, AHC, AHX, NROB1"
Endocrine,"FTZF1, FTZ1, SF1"
Cancer,"PRKAR1A, TSE1, CNC1, CAR"
Endocrine,TBS19
Neurological,"ABCD1, ALD, AMN"
Neurological,"PEX10, NALD"
Neurological,"PEX13, ZWS, NALD"
Neurological,"PEX1, ZWS1"
Neurological,PEX26
Neurological,"PXR1, PEX5, PTS1R"
Metabolic,"ABCD1, ALD, AMN"
Hematological,GCNT2
Hematological,GCNT2
multiple,"TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS"
Neurological,"PER2, FASPS, KIAA0347"
Hematological,FGA
Hematological,FGB
Hematological,"IGHM, MU"
Hematological,"IGLL1, IGO, IGL5, VPREB2"
Hematological,"LRRC8, KIAA1437"
Hematological,"BTK, AGMX1, IMD1, XLA, AT"
Metabolic,"GATM, AGAT"
Neurological,"SLC12A6, KCC3A, KCC3B, KCC3, ACCPN"
Metabolic,"ATIC, PURH, AICAR"
Immunological,"KIR3DL1, NKAT3, NKB1, AMB11, KIR3DS1"
Immunological,IFNG
Immunological,"CXCL12, SDF1"
multiple,"JAG1, AGS, AHD"
Dermatological,"OCA2, P, PED, D15S12, BOCA"
Dermatological,"OCA2, P, PED, D15S12, BOCA"
Dermatological,TYR
Dermatological,TYR
Dermatological,"OCA2, P, PED, D15S12, BOCA"
Dermatological,"TYRP1, CAS2, GP75"
Unclassified,HTR2A
Metabolic,ALDH2
Unclassified,GABRA2
Metabolic,ALDOA
Endocrine,CYP11B2
Endocrine,"CYP11B1, P450C11, FHI"
multiple,GFAP
multiple,"NDUFV1, UQOR1"
Metabolic,"HGD, AKU"
Neurological,"SLC16A2, DXS128, XPCT"
Immunological,"IL13, ALRH"
Dermatological,"HR, AU"
Neurological,"POLG, POLG1, POLGA, PEO"
Respiratory,"SERPINA3, AACT, ACT"
Muscular,ACTN3
Metabolic,ACAT1
Metabolic,AMACR
Hematological,"ATRX, XH2, XNP, MRXS3, SHS"
Hematological,"ATRX, XH2, XNP, MRXS3, SHS"
Renal,"COL4A5, ATS, ASLN"
Renal,COL4A3
Renal,COL4A4
Neurological,"ALMS1, ALSS, KIAA0328"
Neurological,"ATP1A2, FHM2, MHP2"
Cancer,"ASPCR1, RCC17, ASPL, ASPS"
Neurological,"APP, AAA, CVAP, AD1"
Neurological,"APOE, AD2"
Neurological,"PSEN2, AD4, STM2"
Neurological,"APBB2, FE65L1"
Neurological,NOS3
Neurological,"PLAU, URK"
Neurological,"ACE, DCP1, ACE1"
Neurological,MPO
Neurological,"PACIP1, PAXIP1L, PTIP"
Neurological,A2M
Neurological,"BLMH, BMH"
Neurological,"PSEN1, AD3"
Neurological,"PSEN1, AD3"
Neurological,"PSEN1, AD3"
Bone,ENAM
