ID,Genes
1,"CYP17A1, CYP17, P450C17"
1,"CYP17A1, CYP17, P450C17"
3,"HADH2, ERAB"
4,ACADSB
5,HSD3B2
6,"HADHSC, SCHAD"
7,"MCCC1, MCCA"
7,"MCCC2, MCCB"
8,AUH
9,"OPA3, MGA3"
10,CUL7
12,TPMT
13,"FGD1, FGDY, AAS"
14,HLA-B
15,"EDNRB, HSCR2, ABCDS"
17,MTP
17,"APOB, FLDB"
18,"SOX9, CMD1, SRA1"
21,CAT
22,MDM2
24,"AAAS, AAA"
25,"C7orf2, ACHP, LMBR1"
26,COL2A1
27,"SLC26A2, DTD, DTDST, D5S1708, EDM4"
28,"FGFR3, ACH"
29,"CNGA3, CNG3, ACHM2"
29,"CNGB3, ACHM3"
29,"GNAT2, ACHM4"
30,"IGFALS, ALS"
31,"KCNH2, LQT2, HERG"
32,"GLI3, PAPA, PAPB, ACLS"
33,"IHH, BDA1"
34,"SLC39A4, ZIP4"
36,"ATP2A2, ATP2B, DAR"
38,"GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO"
38,SSTR5
39,"GDF5, CDMP1"
39,"NPR2, ANPRB, AMDM"
44,"ACADL, LCAD"
44,"ACADM, MCAD"
44,"ACADS, SCAD"
45,EGFR
45,BRAF
45,"ERBB2, NGL, NEU, HER2"
45,"PRKN, PARK2, PDJ"
45,"PRKN, PARK2, PDJ"
46,"APC, GS, FPC"
47,MUTYH
47,"PLAG1, SGPA, PSA"
47,"APC, GS, FPC"
47,"APC, GS, FPC"
49,ADA
50,ADSL
52,"APM1, GBP28"
53,MEN1
53,"TP53, P53, LFS1"
53,"CYP11B1, P450C11, FHI"
53,"CYP21A2, CYP21, CA21H"
54,POR
55,"DAX1, AHC, AHX, NROB1"
56,"FTZF1, FTZ1, SF1"
56,"PRKAR1A, TSE1, CNC1, CAR"
56,TBS19
56,"ABCD1, ALD, AMN"
56,"PEX10, NALD"
56,"PEX13, ZWS, NALD"
57,"PEX1, ZWS1"
58,PEX26
58,"PXR1, PEX5, PTS1R"
59,"ABCD1, ALD, AMN"
60,GCNT2
61,GCNT2
61,"TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS"
63,"PER2, FASPS, KIAA0347"
63,FGA
63,FGB
63,"IGHM, MU"
64,"IGLL1, IGO, IGL5, VPREB2"
65,"LRRC8, KIAA1437"
69,"BTK, AGMX1, IMD1, XLA, AT"
70,"GATM, AGAT"
70,"SLC12A6, KCC3A, KCC3B, KCC3, ACCPN"
70,"ATIC, PURH, AICAR"
71,"KIR3DL1, NKAT3, NKB1, AMB11, KIR3DS1"
72,IFNG
72,"CXCL12, SDF1"
72,"JAG1, AGS, AHD"
72,"OCA2, P, PED, D15S12, BOCA"
72,"OCA2, P, PED, D15S12, BOCA"
72,TYR
74,TYR
75,"OCA2, P, PED, D15S12, BOCA"
76,"TYRP1, CAS2, GP75"
77,HTR2A
78,ALDH2
79,GABRA2
79,ALDOA
80,CYP11B2
82,"CYP11B1, P450C11, FHI"
83,GFAP
85,"NDUFV1, UQOR1"
86,"HGD, AKU"
87,"SLC16A2, DXS128, XPCT"
88,"IL13, ALRH"
90,"HR, AU"
91,"POLG, POLG1, POLGA, PEO"
92,"SERPINA3, AACT, ACT"
92,ACTN3
94,ACAT1
94,AMACR
94,"ATRX, XH2, XNP, MRXS3, SHS"
95,"ATRX, XH2, XNP, MRXS3, SHS"
96,"COL4A5, ATS, ASLN"
97,COL4A3
98,COL4A4
98,"ALMS1, ALSS, KIAA0328"
98,"ATP1A2, FHM2, MHP2"
98,"ASPCR1, RCC17, ASPL, ASPS"
98,"APP, AAA, CVAP, AD1"
98,"APOE, AD2"
98,"PSEN2, AD4, STM2"
98,"APBB2, FE65L1"
98,NOS3
98,"PLAU, URK"
98,"ACE, DCP1, ACE1"
98,MPO
98,"PACIP1, PAXIP1L, PTIP"
98,A2M
99,"BLMH, BMH"
99,"PSEN1, AD3"
99,"PSEN1, AD3"
99,"PSEN1, AD3"
99,ENAM
100,"AMELX, AMG, AIH1, AMGX"
101,"DLX3, TDO"
102,ENAM
103,"KLK4, EMSP1, PRSS17"
103,"SIAT9, ST3GALV"
103,AMPD3
103,"TTR, PALB"
103,APOA1
103,"APP, AAA, CVAP, AD1"
104,GSN
104,FGA
104,LYZ
104,"TTR, PALB"
104,"VAPB, VAPC, ALS8"
104,"SOD1, ALS1"
105,"ALS2, ALSJ, PLSJ, IAHSP"
107,DCTN1
108,NEFH
109,PRPH
110,ALB
110,MC1R
110,"SARA2, SAR1B, CMRD"
110,"AR, DHTR, TFM, SBMA, KD, SMAX1"
110,"CDAN1, CDA1"
110,"RPS19, DBA"
110,"PKLR, PK1"
